longitude,latitude,sp1,sp2,sp3,wc1,wc2,wc3,wc4,wc5,wc6,wc7,wc8,wc9,wc10,wc11,wc12,wc13,wc14,wc15,wc16,wc17,wc18,wc19,lc1,lc2,lc3,lc4,lc5,lc6,lc7,lc8,lc9,lc10
-79.58333333333333,45.083333333333336,1.0,1.0,1.0,5.5275,10.004416,25.656132,1050.0162,24.56975,-14.4245,38.99425,-4.1093335,-2.834375,17.84075,-7.7532086,1059.0,109.0,68.0,17.69731,319.0,208.0,241.0,280.0,0.0,0.0,10.0,0.0,2.0,0.0,53.0,1.0,35.0,3.0
-79.58333333333333,45.25,1.0,1.0,1.0,5.056198,10.206646,25.942064,1058.5927,24.21725,-15.12675,39.344,7.576625,-3.0625832,17.463167,-8.436542,1067.0,108.0,69.0,17.60659,320.0,210.0,243.0,277.0,0.0,1.0,7.0,0.0,2.0,0.0,78.0,0.0,12.0,2.0
-79.58333333333333,45.416666666666664,1.0,1.0,,4.584875,10.243417,25.831827,1074.1616,23.856749,-15.7975,39.654247,6.9324584,-3.442,17.16475,-9.154917,1064.0,112.0,68.0,17.661283,325.0,206.0,249.0,265.0,0.0,0.0,12.0,0.0,4.0,0.0,81.0,0.0,3.0,2.0
-79.58333333333333,45.583333333333336,,1.0,,4.518969,10.217563,25.595257,1082.4989,23.79025,-16.1295,39.91975,6.9110417,-3.546167,17.1745,-9.371542,1033.0,110.0,64.0,17.569128,318.0,198.0,250.0,243.0,0.0,1.0,10.0,0.0,2.0,0.0,80.0,0.0,7.0,2.0
-79.58333333333333,45.75,,1.0,1.0,4.2584476,10.237646,25.494844,1088.7927,23.64325,-16.5125,40.15575,6.5838747,-3.7940001,17.009125,-9.706959,1009.0,110.0,59.0,18.721153,313.0,189.0,256.0,220.0,0.0,2.0,12.0,0.0,3.0,0.0,79.0,0.0,4.0,1.0
-79.58333333333333,45.916666666666664,,1.0,,4.084427,10.19202,25.215448,1097.2832,23.5225,-16.89725,40.419746,6.4817085,-4.0162086,16.884417,-10.04225,990.0,111.0,54.0,20.65178,308.0,182.0,263.0,200.0,0.0,1.0,9.0,0.0,2.0,0.0,87.0,0.0,1.0,1.0
-79.58333333333333,46.083333333333336,,1.0,,4.208552,10.326604,24.633488,1127.068,24.4245,-17.4965,41.920998,12.702917,-4.3987503,17.339916,-10.254708,943.0,106.0,48.0,22.576248,296.0,169.0,261.0,180.0,0.0,1.0,12.0,0.0,4.0,0.0,71.0,0.0,11.0,2.0
-79.58333333333333,46.25,1.0,1.0,,4.4177394,9.39123,22.665104,1135.6307,24.4125,-17.02225,41.43475,13.528084,-4.830792,17.78425,-9.913917,915.0,104.0,46.0,23.078438,289.0,164.0,259.0,172.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,93.0,0.0
-79.58333333333333,46.416666666666664,1.0,1.0,,3.479396,10.492625,24.633612,1144.7018,24.024,-18.57075,42.59475,16.002417,-5.181208,16.830168,-11.236,968.0,109.0,50.0,22.12928,300.0,174.0,281.0,186.0,0.0,0.0,10.0,0.0,5.0,0.0,80.0,0.0,5.0,0.0
-79.58333333333333,46.75,,1.0,,2.9784167,10.871166,24.825825,1171.013,23.9175,-19.87225,43.78975,15.740209,-5.72425,16.603083,-12.145625,952.0,101.0,51.0,20.477314,291.0,177.0,281.0,185.0,0.0,0.0,5.0,0.0,4.0,0.0,82.0,0.0,8.0,1.0
